ScopeID	AnalysisTier	ScopeFamily	Species	StudyStatus	Top1AgreementPattern	Count	Fraction	FractionCILower	FractionCIUpper	NGenes	NContributingExperts	BootstrapAttempted	BootstrapReplicates	BootstrapInvalid	BootstrapUnit	BootstrapStrata	SeedStream
species_study_status.wheat.well_studied	locked_exploratory	species_study_status	Wheat	well_studied	unanimous	0	0	0	0	20	24	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species_study_status.wheat.well_studied	locked_exploratory	species_study_status	Wheat	well_studied	majority_2_of_3	8	0.4	0.2	0.6	20	24	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species_study_status.wheat.well_studied	locked_exploratory	species_study_status	Wheat	well_studied	all_different	12	0.6	0.4	0.8	20	24	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species_study_status.wheat.uncharacterized	locked_exploratory	species_study_status	Wheat	uncharacterized	unanimous	2	0.1	0	0.25	20	22	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species_study_status.wheat.uncharacterized	locked_exploratory	species_study_status	Wheat	uncharacterized	majority_2_of_3	9	0.45	0.25	0.65	20	22	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species_study_status.wheat.uncharacterized	locked_exploratory	species_study_status	Wheat	uncharacterized	all_different	9	0.45	0.25	0.65	20	22	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species_study_status.soybean.well_studied	locked_exploratory	species_study_status	Soybean	well_studied	unanimous	2	0.1	0	0.25	20	24	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species_study_status.soybean.well_studied	locked_exploratory	species_study_status	Soybean	well_studied	majority_2_of_3	10	0.5	0.3	0.7	20	24	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species_study_status.soybean.well_studied	locked_exploratory	species_study_status	Soybean	well_studied	all_different	8	0.4	0.2	0.6	20	24	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species_study_status.soybean.uncharacterized	locked_exploratory	species_study_status	Soybean	uncharacterized	unanimous	3	0.15	0	0.3	20	24	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species_study_status.soybean.uncharacterized	locked_exploratory	species_study_status	Soybean	uncharacterized	majority_2_of_3	11	0.55	0.35	0.75	20	24	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species_study_status.soybean.uncharacterized	locked_exploratory	species_study_status	Soybean	uncharacterized	all_different	6	0.3	0.1	0.5	20	24	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species_study_status.arabidopsis.well_studied	locked_exploratory	species_study_status	Arabidopsis	well_studied	unanimous	5	0.25	0.1	0.45	20	24	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species_study_status.arabidopsis.well_studied	locked_exploratory	species_study_status	Arabidopsis	well_studied	majority_2_of_3	11	0.55	0.35	0.75	20	24	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species_study_status.arabidopsis.well_studied	locked_exploratory	species_study_status	Arabidopsis	well_studied	all_different	4	0.2	0.05	0.4	20	24	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species_study_status.arabidopsis.uncharacterized	locked_exploratory	species_study_status	Arabidopsis	uncharacterized	unanimous	5	0.25	0.1	0.45	20	22	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species_study_status.arabidopsis.uncharacterized	locked_exploratory	species_study_status	Arabidopsis	uncharacterized	majority_2_of_3	10	0.5	0.3	0.7	20	22	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species_study_status.arabidopsis.uncharacterized	locked_exploratory	species_study_status	Arabidopsis	uncharacterized	all_different	5	0.25	0.1	0.45	20	22	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
