Scope	StudyStatus	Species	RowModel	ColumnModel	Probability	CI95Lower	CI95Upper	NJudgments	NExperts	NGenes	SuccessfulReplicates	FailedFits	SeedStream
well_studied.rice	well_studied	Rice	Grok	Phytomni	0.0770398657486701	0.0101993650869817	0.222149711687686	60	23	20	10000	0	pl_expert_gene_components
well_studied.rice	well_studied	Rice	Grok	Claude	0.220540265640144	0.0633099096699496	0.433384486678758	60	23	20	10000	0	pl_expert_gene_components
well_studied.rice	well_studied	Rice	OpenAI	Gemini	0.381641458747035	0.204804826363473	0.570128783385248	60	23	20	10000	0	pl_expert_gene_components
well_studied.rice	well_studied	Rice	OpenAI	Grok	0.749593358582645	0.550771274451663	0.909675072006296	60	23	20	10000	0	pl_expert_gene_components
well_studied.rice	well_studied	Rice	OpenAI	Phytomni	0.199916181615786	0.0562197995417272	0.387570750789858	60	23	20	10000	0	pl_expert_gene_components
well_studied.rice	well_studied	Rice	OpenAI	Claude	0.458576157926163	0.268687769754215	0.638289011730364	60	23	20	10000	0	pl_expert_gene_components
well_studied.rice	well_studied	Rice	Phytomni	Gemini	0.711818286719838	0.513299104327895	0.894946263481904	60	23	20	10000	0	pl_expert_gene_components
well_studied.rice	well_studied	Rice	Phytomni	Grok	0.92296013425133	0.777850288312314	0.989800634913018	60	23	20	10000	0	pl_expert_gene_components
well_studied.rice	well_studied	Rice	Phytomni	OpenAI	0.800083818384214	0.612429249210142	0.943780200458273	60	23	20	10000	0	pl_expert_gene_components
well_studied.rice	well_studied	Rice	Phytomni	Claude	0.772194149588466	0.590456459148505	0.925895958423511	60	23	20	10000	0	pl_expert_gene_components
well_studied.rice	well_studied	Rice	Claude	Gemini	0.421526317165384	0.258597278931542	0.600551769685463	60	23	20	10000	0	pl_expert_gene_components
well_studied.rice	well_studied	Rice	Claude	Grok	0.779459734359856	0.566615513321242	0.93669009033005	60	23	20	10000	0	pl_expert_gene_components
well_studied.rice	well_studied	Rice	Claude	OpenAI	0.541423842073837	0.361710988269636	0.731312230245785	60	23	20	10000	0	pl_expert_gene_components
well_studied.rice	well_studied	Rice	Claude	Phytomni	0.227805850411534	0.0741040415764892	0.409543540851495	60	23	20	10000	0	pl_expert_gene_components
well_studied.maize	well_studied	Maize	Gemini	Grok	0.755317866728973	0.593551354801198	0.897210932736327	60	23	20	10000	0	pl_expert_gene_components
well_studied.maize	well_studied	Maize	Gemini	OpenAI	0.619196175157626	0.451190131886227	0.758684570961479	60	23	20	10000	0	pl_expert_gene_components
well_studied.maize	well_studied	Maize	Gemini	Phytomni	0.500728693755039	0.288100175355931	0.702305733405752	60	23	20	10000	0	pl_expert_gene_components
well_studied.maize	well_studied	Maize	Gemini	Claude	0.632895513278234	0.48244526504169	0.776289946000575	60	23	20	10000	0	pl_expert_gene_components
well_studied.maize	well_studied	Maize	Grok	Gemini	0.244682133271027	0.102789067263673	0.406448645198801	60	23	20	10000	0	pl_expert_gene_components
well_studied.maize	well_studied	Maize	Grok	OpenAI	0.345011274762793	0.171011813626345	0.565203446731217	60	23	20	10000	0	pl_expert_gene_components
well_studied.maize	well_studied	Maize	Grok	Phytomni	0.24522122215256	0.06173891331597	0.492300030189771	60	23	20	10000	0	pl_expert_gene_components
well_studied.maize	well_studied	Maize	Grok	Claude	0.35835297263898	0.176912457710908	0.573880977824738	60	23	20	10000	0	pl_expert_gene_components
well_studied.maize	well_studied	Maize	OpenAI	Gemini	0.380803824842374	0.241315429038521	0.548809868113773	60	23	20	10000	0	pl_expert_gene_components
well_studied.maize	well_studied	Maize	OpenAI	Grok	0.654988725237207	0.434796553268783	0.828988186373655	60	23	20	10000	0	pl_expert_gene_components
well_studied.maize	well_studied	Maize	OpenAI	Phytomni	0.38149134513144	0.174090083567299	0.59788529371834	60	23	20	10000	0	pl_expert_gene_components
well_studied.maize	well_studied	Maize	OpenAI	Claude	0.514626084067256	0.321434828006184	0.706063496566298	60	23	20	10000	0	pl_expert_gene_components
well_studied.maize	well_studied	Maize	Phytomni	Gemini	0.499271306244961	0.297694266594248	0.711899824644069	60	23	20	10000	0	pl_expert_gene_components
well_studied.maize	well_studied	Maize	Phytomni	Grok	0.75477877784744	0.507699969810228	0.93826108668403	60	23	20	10000	0	pl_expert_gene_components
well_studied.maize	well_studied	Maize	Phytomni	OpenAI	0.61850865486856	0.40211470628166	0.825909916432701	60	23	20	10000	0	pl_expert_gene_components
well_studied.maize	well_studied	Maize	Phytomni	Claude	0.632218035570524	0.416393521712487	0.835646649350374	60	23	20	10000	0	pl_expert_gene_components
well_studied.maize	well_studied	Maize	Claude	Gemini	0.367104486721766	0.223710053999425	0.51755473495831	60	23	20	10000	0	pl_expert_gene_components
well_studied.maize	well_studied	Maize	Claude	Grok	0.64164702736102	0.426119022175262	0.823087542289092	60	23	20	10000	0	pl_expert_gene_components
well_studied.maize	well_studied	Maize	Claude	OpenAI	0.485373915932744	0.293936503433702	0.678565171993816	60	23	20	10000	0	pl_expert_gene_components
well_studied.maize	well_studied	Maize	Claude	Phytomni	0.367781964429476	0.164353350649626	0.583606478287513	60	23	20	10000	0	pl_expert_gene_components
well_studied.wheat	well_studied	Wheat	Gemini	Grok	0.777952620913099	0.578801353466133	0.918751509512665	60	24	20	10000	0	pl_expert_gene_components
well_studied.wheat	well_studied	Wheat	Gemini	OpenAI	0.610071698835896	0.372848251310271	0.800129574938738	60	24	20	10000	0	pl_expert_gene_components
well_studied.wheat	well_studied	Wheat	Gemini	Phytomni	0.533115377465051	0.3545662758641	0.701191068356806	60	24	20	10000	0	pl_expert_gene_components
well_studied.wheat	well_studied	Wheat	Gemini	Claude	0.529284594798114	0.32748517184747	0.71818581846904	60	24	20	10000	0	pl_expert_gene_components
well_studied.wheat	well_studied	Wheat	Grok	Gemini	0.222047379086901	0.081248490487335	0.421198646533867	60	24	20	10000	0	pl_expert_gene_components
well_studied.wheat	well_studied	Wheat	Grok	OpenAI	0.308709115934579	0.153794851717122	0.489070465849446	60	24	20	10000	0	pl_expert_gene_components
well_studied.wheat	well_studied	Wheat	Grok	Phytomni	0.245803753073659	0.102357530468527	0.422859390060588	60	24	20	10000	0	pl_expert_gene_components
well_studied.wheat	well_studied	Wheat	Grok	Claude	0.242963131162444	0.111467916984209	0.401419971056152	60	24	20	10000	0	pl_expert_gene_components
well_studied.wheat	well_studied	Wheat	OpenAI	Gemini	0.389928301164104	0.199870425061262	0.627151748689729	60	24	20	10000	0	pl_expert_gene_components
well_studied.wheat	well_studied	Wheat	OpenAI	Grok	0.691290884065421	0.510929534150554	0.846205148282878	60	24	20	10000	0	pl_expert_gene_components
well_studied.wheat	well_studied	Wheat	OpenAI	Phytomni	0.421905033444953	0.250633361702371	0.618001123861931	60	24	20	10000	0	pl_expert_gene_components
well_studied.wheat	well_studied	Wheat	OpenAI	Claude	0.418157651792059	0.283394198281913	0.563278928742756	60	24	20	10000	0	pl_expert_gene_components
well_studied.wheat	well_studied	Wheat	Phytomni	Gemini	0.46688462253495	0.298808931643194	0.6454337241359	60	24	20	10000	0	pl_expert_gene_components
well_studied.wheat	well_studied	Wheat	Phytomni	Grok	0.754196246926341	0.577140609939412	0.897642469531473	60	24	20	10000	0	pl_expert_gene_components
well_studied.wheat	well_studied	Wheat	Phytomni	OpenAI	0.578094966555047	0.381998876138069	0.749366638297629	60	24	20	10000	0	pl_expert_gene_components
well_studied.wheat	well_studied	Wheat	Phytomni	Claude	0.496154299547034	0.304481856831774	0.680951628470967	60	24	20	10000	0	pl_expert_gene_components
well_studied.wheat	well_studied	Wheat	Claude	Gemini	0.470715405201886	0.28181418153096	0.67251482815253	60	24	20	10000	0	pl_expert_gene_components
well_studied.wheat	well_studied	Wheat	Claude	Grok	0.757036868837556	0.598580028943848	0.888532083015791	60	24	20	10000	0	pl_expert_gene_components
well_studied.wheat	well_studied	Wheat	Claude	OpenAI	0.581842348207941	0.436721071257244	0.716605801718088	60	24	20	10000	0	pl_expert_gene_components
well_studied.wheat	well_studied	Wheat	Claude	Phytomni	0.503845700452966	0.319048371529033	0.695518143168226	60	24	20	10000	0	pl_expert_gene_components
well_studied.soybean	well_studied	Soybean	Gemini	Grok	0.818104472025984	0.665475971619139	0.942751565692818	60	24	20	10000	0	pl_expert_gene_components
well_studied.soybean	well_studied	Soybean	Gemini	OpenAI	0.508964166625495	0.315099814580058	0.696792786273876	60	24	20	10000	0	pl_expert_gene_components
well_studied.soybean	well_studied	Soybean	Gemini	Phytomni	0.455306307501494	0.261015456256502	0.628156273392206	60	24	20	10000	0	pl_expert_gene_components
well_studied.soybean	well_studied	Soybean	Gemini	Claude	0.410504999703383	0.252659460053465	0.578965678081734	60	24	20	10000	0	pl_expert_gene_components
well_studied.soybean	well_studied	Soybean	Grok	Gemini	0.181895527974016	0.0572484343071816	0.334524028380861	60	24	20	10000	0	pl_expert_gene_components
well_studied.soybean	well_studied	Soybean	Grok	OpenAI	0.187292905581761	0.07436410096067	0.325891948248195	60	24	20	10000	0	pl_expert_gene_components
well_studied.soybean	well_studied	Soybean	Grok	Phytomni	0.156723637414685	0.0378880912395964	0.344774985593649	60	24	20	10000	0	pl_expert_gene_components
well_studied.soybean	well_studied	Soybean	Grok	Claude	0.134070736885775	0.0436630876972494	0.254445320891302	60	24	20	10000	0	pl_expert_gene_components
well_studied.soybean	well_studied	Soybean	OpenAI	Gemini	0.491035833374505	0.303207213726124	0.684900185419942	60	24	20	10000	0	pl_expert_gene_components
well_studied.soybean	well_studied	Soybean	OpenAI	Grok	0.812707094418239	0.674108051751805	0.92563589903933	60	24	20	10000	0	pl_expert_gene_components
well_studied.soybean	well_studied	Soybean	OpenAI	Phytomni	0.4464279935963	0.204839571203194	0.693435283413527	60	24	20	10000	0	pl_expert_gene_components
well_studied.soybean	well_studied	Soybean	OpenAI	Claude	0.401855777141108	0.216539322982671	0.615017567627946	60	24	20	10000	0	pl_expert_gene_components
well_studied.soybean	well_studied	Soybean	Phytomni	Gemini	0.544693692498506	0.371843726607793	0.738984543743498	60	24	20	10000	0	pl_expert_gene_components
well_studied.soybean	well_studied	Soybean	Phytomni	Grok	0.843276362585315	0.655225014406351	0.962111908760404	60	24	20	10000	0	pl_expert_gene_components
well_studied.soybean	well_studied	Soybean	Phytomni	OpenAI	0.5535720064037	0.306564716586473	0.795160428796806	60	24	20	10000	0	pl_expert_gene_components
well_studied.soybean	well_studied	Soybean	Phytomni	Claude	0.454470241189078	0.26428740860948	0.66946940532225	60	24	20	10000	0	pl_expert_gene_components
well_studied.soybean	well_studied	Soybean	Claude	Gemini	0.589495000296617	0.421034321918266	0.747340539946535	60	24	20	10000	0	pl_expert_gene_components
well_studied.soybean	well_studied	Soybean	Claude	Grok	0.865929263114225	0.745554679108698	0.956336912302751	60	24	20	10000	0	pl_expert_gene_components
well_studied.soybean	well_studied	Soybean	Claude	OpenAI	0.598144222858892	0.384982432372054	0.783460677017329	60	24	20	10000	0	pl_expert_gene_components
well_studied.soybean	well_studied	Soybean	Claude	Phytomni	0.545529758810922	0.33053059467775	0.73571259139052	60	24	20	10000	0	pl_expert_gene_components
well_studied.arabidopsis	well_studied	Arabidopsis	Gemini	Grok	0.800815477288231	0.576596799770505	0.948746319205676	60	24	20	10000	0	pl_expert_gene_components
well_studied.arabidopsis	well_studied	Arabidopsis	Gemini	OpenAI	0.680894348715536	0.410826976961086	0.888754138252601	60	24	20	10000	0	pl_expert_gene_components
well_studied.arabidopsis	well_studied	Arabidopsis	Gemini	Phytomni	0.333959416689619	0.145810552891824	0.514147725096843	60	24	20	10000	0	pl_expert_gene_components
well_studied.arabidopsis	well_studied	Arabidopsis	Gemini	Claude	0.468716722081129	0.270823223327418	0.647782124032791	60	24	20	10000	0	pl_expert_gene_components
well_studied.arabidopsis	well_studied	Arabidopsis	Grok	Gemini	0.199184522711769	0.0512536807943235	0.423403200229495	60	24	20	10000	0	pl_expert_gene_components
well_studied.arabidopsis	well_studied	Arabidopsis	Grok	OpenAI	0.346714176372474	0.186504401900401	0.500594719445003	60	24	20	10000	0	pl_expert_gene_components
well_studied.arabidopsis	well_studied	Arabidopsis	Grok	Phytomni	0.110885288044783	0.0135455476367303	0.326087414471473	60	24	20	10000	0	pl_expert_gene_components
well_studied.arabidopsis	well_studied	Arabidopsis	Grok	Claude	0.179948611698382	0.0574629432003822	0.342026579213543	60	24	20	10000	0	pl_expert_gene_components
well_studied.arabidopsis	well_studied	Arabidopsis	OpenAI	Gemini	0.319105651284464	0.111245861747399	0.589173023038914	60	24	20	10000	0	pl_expert_gene_components
well_studied.arabidopsis	well_studied	Arabidopsis	OpenAI	Grok	0.653285823627526	0.499405280554997	0.813495598099599	60	24	20	10000	0	pl_expert_gene_components
well_studied.arabidopsis	well_studied	Arabidopsis	OpenAI	Phytomni	0.190276271740646	0.0329136501079553	0.477726781965786	60	24	20	10000	0	pl_expert_gene_components
well_studied.arabidopsis	well_studied	Arabidopsis	OpenAI	Claude	0.292518889381362	0.131069914624293	0.49298655565538	60	24	20	10000	0	pl_expert_gene_components
well_studied.arabidopsis	well_studied	Arabidopsis	Phytomni	Gemini	0.666040583310381	0.485852274903157	0.854189447108176	60	24	20	10000	0	pl_expert_gene_components
well_studied.arabidopsis	well_studied	Arabidopsis	Phytomni	Grok	0.889114711955217	0.673912585528527	0.98645445236327	60	24	20	10000	0	pl_expert_gene_components
well_studied.arabidopsis	well_studied	Arabidopsis	Phytomni	OpenAI	0.809723728259354	0.522273218034213	0.967086349892045	60	24	20	10000	0	pl_expert_gene_components
well_studied.arabidopsis	well_studied	Arabidopsis	Phytomni	Claude	0.637616589330854	0.41953191231267	0.865449565142567	60	24	20	10000	0	pl_expert_gene_components
well_studied.arabidopsis	well_studied	Arabidopsis	Claude	Gemini	0.531283277918871	0.352217875967209	0.729176776672582	60	24	20	10000	0	pl_expert_gene_components
well_studied.arabidopsis	well_studied	Arabidopsis	Claude	Grok	0.820051388301618	0.657973420786457	0.942537056799618	60	24	20	10000	0	pl_expert_gene_components
well_studied.arabidopsis	well_studied	Arabidopsis	Claude	OpenAI	0.707481110618638	0.50701344434462	0.868930085375706	60	24	20	10000	0	pl_expert_gene_components
well_studied.arabidopsis	well_studied	Arabidopsis	Claude	Phytomni	0.362383410669146	0.134550434857433	0.58046808768733	60	24	20	10000	0	pl_expert_gene_components
uncharacterized	uncharacterized	all	Gemini	Grok	0.784618086638159	0.704889261863607	0.855223321444888	300	115	100	10000	0	pl_expert_gene_components
uncharacterized	uncharacterized	all	Gemini	OpenAI	0.56702306944809	0.484149898210345	0.650039367062614	300	115	100	10000	0	pl_expert_gene_components
uncharacterized	uncharacterized	all	Gemini	Phytomni	0.387276290188061	0.30136479219559	0.47249028231914	300	115	100	10000	0	pl_expert_gene_components
uncharacterized	uncharacterized	all	Gemini	Claude	0.517966852480195	0.430505112109066	0.603596755073574	300	115	100	10000	0	pl_expert_gene_components
uncharacterized	uncharacterized	all	Grok	Gemini	0.215381913361841	0.144776678555112	0.295110738136393	300	115	100	10000	0	pl_expert_gene_components
uncharacterized	uncharacterized	all	Grok	OpenAI	0.264430076281432	0.198676808293426	0.334565897869173	300	115	100	10000	0	pl_expert_gene_components
uncharacterized	uncharacterized	all	Grok	Phytomni	0.147850539179837	0.0911003256080737	0.218624747096432	300	115	100	10000	0	pl_expert_gene_components
uncharacterized	uncharacterized	all	Grok	Claude	0.227780581692897	0.151430214490562	0.310077748338607	300	115	100	10000	0	pl_expert_gene_components
uncharacterized	uncharacterized	all	OpenAI	Gemini	0.43297693055191	0.349960632937386	0.515850101789655	300	115	100	10000	0	pl_expert_gene_components
uncharacterized	uncharacterized	all	OpenAI	Grok	0.735569923718568	0.665434102130827	0.801323191706574	300	115	100	10000	0	pl_expert_gene_components
uncharacterized	uncharacterized	all	OpenAI	Phytomni	0.325525890464666	0.240288220384938	0.416388361443804	300	115	100	10000	0	pl_expert_gene_components
uncharacterized	uncharacterized	all	OpenAI	Claude	0.450706346624137	0.3621960441091	0.538617025970917	300	115	100	10000	0	pl_expert_gene_components
uncharacterized	uncharacterized	all	Phytomni	Gemini	0.612723709811939	0.52750971768086	0.698635207804409	300	115	100	10000	0	pl_expert_gene_components
uncharacterized	uncharacterized	all	Phytomni	Grok	0.852149460820163	0.781375252903568	0.908899674391926	300	115	100	10000	0	pl_expert_gene_components
uncharacterized	uncharacterized	all	Phytomni	OpenAI	0.674474109535334	0.583611638556196	0.759711779615061	300	115	100	10000	0	pl_expert_gene_components
uncharacterized	uncharacterized	all	Phytomni	Claude	0.629640325138209	0.533697720843423	0.723661821099602	300	115	100	10000	0	pl_expert_gene_components
uncharacterized	uncharacterized	all	Claude	Gemini	0.482033147519805	0.396403244926426	0.569494887890934	300	115	100	10000	0	pl_expert_gene_components
uncharacterized	uncharacterized	all	Claude	Grok	0.772219418307103	0.689922251661393	0.848569785509438	300	115	100	10000	0	pl_expert_gene_components
uncharacterized	uncharacterized	all	Claude	OpenAI	0.549293653375863	0.461382974029083	0.6378039558909	300	115	100	10000	0	pl_expert_gene_components
uncharacterized	uncharacterized	all	Claude	Phytomni	0.370359674861791	0.276338178900398	0.466302279156577	300	115	100	10000	0	pl_expert_gene_components
uncharacterized.rice	uncharacterized	Rice	Gemini	Grok	0.813127361846175	0.578201146101014	0.95777083985	60	23	20	10000	0	pl_expert_gene_components
uncharacterized.rice	uncharacterized	Rice	Gemini	OpenAI	0.631636672481512	0.461320719243879	0.796425494499866	60	23	20	10000	0	pl_expert_gene_components
uncharacterized.rice	uncharacterized	Rice	Gemini	Phytomni	0.311462700087401	0.148303988253579	0.506887988880184	60	23	20	10000	0	pl_expert_gene_components
uncharacterized.rice	uncharacterized	Rice	Gemini	Claude	0.472752152530153	0.293528357972855	0.657842965553344	60	23	20	10000	0	pl_expert_gene_components
uncharacterized.rice	uncharacterized	Rice	Grok	Gemini	0.186872638153825	0.0422291601499998	0.421798853898986	60	23	20	10000	0	pl_expert_gene_components
uncharacterized.rice	uncharacterized	Rice	Grok	OpenAI	0.282678108169861	0.104321171362105	0.511824962140736	60	23	20	10000	0	pl_expert_gene_components
uncharacterized.rice	uncharacterized	Rice	Grok	Phytomni	0.0941699691458169	0.0118701517357629	0.292588350500086	60	23	20	10000	0	pl_expert_gene_components
uncharacterized.rice	uncharacterized	Rice	Grok	Claude	0.17085781646805	0.0494300021781848	0.334635601123468	60	23	20	10000	0	pl_expert_gene_components
uncharacterized.rice	uncharacterized	Rice	OpenAI	Gemini	0.368363327518488	0.203574505500134	0.53867928075612	60	23	20	10000	0	pl_expert_gene_components
uncharacterized.rice	uncharacterized	Rice	OpenAI	Grok	0.717321891830139	0.488175037859264	0.895678828637895	60	23	20	10000	0	pl_expert_gene_components
uncharacterized.rice	uncharacterized	Rice	OpenAI	Phytomni	0.208740439293514	0.0643998479078703	0.411932529933395	60	23	20	10000	0	pl_expert_gene_components
uncharacterized.rice	uncharacterized	Rice	OpenAI	Claude	0.343362795359064	0.184653118049379	0.528640180768224	60	23	20	10000	0	pl_expert_gene_components
uncharacterized.rice	uncharacterized	Rice	Phytomni	Gemini	0.688537299912599	0.493112011119816	0.851696011746421	60	23	20	10000	0	pl_expert_gene_components
uncharacterized.rice	uncharacterized	Rice	Phytomni	Grok	0.905830030854183	0.707411649499915	0.988129848264237	60	23	20	10000	0	pl_expert_gene_components
uncharacterized.rice	uncharacterized	Rice	Phytomni	OpenAI	0.791259560706486	0.588067470066604	0.93560015209213	60	23	20	10000	0	pl_expert_gene_components
uncharacterized.rice	uncharacterized	Rice	Phytomni	Claude	0.664673314899105	0.443373593808913	0.85754826559739	60	23	20	10000	0	pl_expert_gene_components
uncharacterized.rice	uncharacterized	Rice	Claude	Gemini	0.527247847469847	0.342157034446656	0.706471642027145	60	23	20	10000	0	pl_expert_gene_components
uncharacterized.rice	uncharacterized	Rice	Claude	Grok	0.82914218353195	0.665364398876532	0.950569997821815	60	23	20	10000	0	pl_expert_gene_components
uncharacterized.rice	uncharacterized	Rice	Claude	OpenAI	0.656637204640936	0.471359819231776	0.815346881950621	60	23	20	10000	0	pl_expert_gene_components
uncharacterized.rice	uncharacterized	Rice	Claude	Phytomni	0.335326685100895	0.14245173440261	0.556626406191087	60	23	20	10000	0	pl_expert_gene_components
uncharacterized.maize	uncharacterized	Maize	Gemini	Grok	0.70773184364375	0.50751057464115	0.873482446108117	60	24	20	10000	0	pl_expert_gene_components
uncharacterized.maize	uncharacterized	Maize	Gemini	OpenAI	0.486476517995824	0.28080958320902	0.704384298913052	60	24	20	10000	0	pl_expert_gene_components
uncharacterized.maize	uncharacterized	Maize	Gemini	Phytomni	0.364682872202661	0.181787143003645	0.557420459454431	60	24	20	10000	0	pl_expert_gene_components
uncharacterized.maize	uncharacterized	Maize	Gemini	Claude	0.530275365807384	0.344150367062067	0.703368427341451	60	24	20	10000	0	pl_expert_gene_components
uncharacterized.maize	uncharacterized	Maize	Grok	Gemini	0.29226815635625	0.126517553891883	0.49248942535885	60	24	20	10000	0	pl_expert_gene_components
uncharacterized.maize	uncharacterized	Maize	Grok	OpenAI	0.281203299742394	0.132344939498789	0.451474862744161	60	24	20	10000	0	pl_expert_gene_components
uncharacterized.maize	uncharacterized	Maize	Grok	Phytomni	0.191624383732473	0.0645557787866627	0.380575013679649	60	24	20	10000	0	pl_expert_gene_components
uncharacterized.maize	uncharacterized	Maize	Grok	Claude	0.317964112658164	0.128678054130087	0.527808495477898	60	24	20	10000	0	pl_expert_gene_components
